,commentNum,uid,rankDate,nri,followerNum,name,followerNumInc,type,rankPosition,repostNum,likeNum,opusNum,huoshanFansNum,originalMusicBeUsedNum,toutiaoFansNum,followingNum,originalMusicNum,likeOpusNum,likeNum.1,fansTotal,douyinFansNum,dynamicNum,opusNum.1
160,3835,100396505242,2019-01-13,852.7,1337077,160,27531,Game,1,1146,346336,2,0,0,11555,6,0,472,21211427,2048755,2037200,255,227
161,2593,86905953142,2019-01-13,836.8,928692,161,16701,Game,1,1909,116483,1,0,0,0,51,0,183,5948369,1082908,1082908,96,96
162,688,97200215248,2019-01-13,836.6,3708686,162,9200,Game,1,930,74219,1,0,0,0,17,0,27,41662987,4000554,4000554,404,402
163,2575,51681062169,2019-01-13,836.2,643533,163,14967,Game,1,3904,107621,1,0,0,194335,0,0,35,3537290,1038950,844615,34,34
164,3318,72670017994,2019-01-13,830.0,572864,164,13805,Game,1,2763,179826,2,0,0,0,107,0,536,12290025,920292,920292,121,121
165,4147,104079901187,2019-01-13,827.0,511675,165,18040,Game,1,2003,140762,1,0,0,9219,53,0,66,2781789,783133,773914,47,46
166,7581,58111395849,2019-01-13,823.4,1590854,166,9405,Game,1,510,86729,2,71551,0,272434,376,0,658,25367659,2018970,1674985,688,664
167,1719,66288161068,2019-01-13,814.1,1244514,167,8706,Game,1,759,132647,1,34366,0,34410,72,0,224,19051112,1670963,1602187,144,144
168,1798,97190129610,2019-01-13,812.7,780239,168,11515,Game,1,1273,84243,1,0,0,27165,30,0,52,5730114,1038743,1011578,137,137
169,720,67861466746,2019-01-13,811.2,2183166,169,8003,Game,1,692,35389,1,50,0,3356013,281,0,304,23292924,6023704,2667641,263,241
170,528,62847193928,2019-01-13,806.7,2525249,170,52939,Game,1,71,65324,1,0,0,2240481,50,0,6,41207536,5583631,3343150,331,328
171,1044,95636088033,2019-01-13,805.3,2244658,171,14714,Game,1,147,124629,1,18,0,296683,31,0,21,38091328,3025811,2729110,302,282
172,559,98477353876,2019-01-13,798.8,1636996,172,20074,Game,1,237,57233,1,0,0,863,41,0,2605,10401000,2252593,2251730,285,284
173,1508,97263432575,2019-01-13,798.1,440490,173,12540,Game,1,1295,161626,2,0,0,0,201,0,240,2790388,522129,522129,123,115
174,1122,71240163890,2019-01-13,796.7,202157,174,12453,Game,1,6150,104695,1,3,0,9312,36,0,109,2236825,308917,299602,50,50
175,2068,105673321888,2019-01-13,789.2,919705,175,12645,Game,0,204,84421,1,0,0,133629,3,0,110,9166493,1382770,1249141,71,69
176,931,62650418152,2019-01-13,789.0,938015,176,10627,Game,0,437,62508,1,8,0,33093,5,0,446,7081541,1167026,1133925,154,154
